CX Calls Call Started Date,CX Calls Call Started Hour of Day,calls,emails,chats,sms,orders
1/8/2016,5,0,105,0,0,5
1/8/2016,22,0,757,0,0,297
1/8/2016,16,0,2665,173,0,1429
1/8/2016,10,0,1533,133,0,417
1/8/2016,7,0,365,0,0,41
1/8/2016,2,0,97,0,0,69
1/8/2016,17,0,2461,133,0,1257
1/8/2016,3,0,133,0,0,29
1/8/2016,23,0,377,0,0,209
1/8/2016,20,0,853,81,0,485
1/8/2016,4,0,77,0,0,21
1/8/2016,19,0,1493,121,0,873
1/8/2016,12,0,2405,201,0,1053
1/8/2016,13,0,2497,205,0,1105
1/8/2016,1,0,153,0,0,97
1/8/2016,18,0,1965,105,0,1245
1/8/2016,21,0,789,17,0,437
1/8/2016,11,0,2529,133,0,873
1/8/2016,9,0,1885,157,0,313
1/8/2016,15,0,2989,197,0,1513
1/8/2016,14,0,2813,169,0,1241
1/8/2016,8,0,353,0,0,81
1/8/2016,6,0,197,0,0,21
1/9/2016,2,0,141,0,0,33
1/9/2016,5,0,41,0,0,13
1/9/2016,3,0,105,0,0,13
1/9/2016,15,0,1073,113,0,2069
1/9/2016,21,0,809,0,0,589
1/9/2016,7,0,125,0,0,45
1/9/2016,4,0,73,0,0,9
1/9/2016,12,0,1349,117,0,1569
1/9/2016,18,0,1485,69,0,1633
1/9/2016,22,0,813,0,0,345
1/9/2016,23,0,565,0,0,165
1/9/2016,9,0,861,0,0,161
1/9/2016,14,0,1473,97,0,1873
1/9/2016,20,0,929,53,0,749
1/9/2016,17,0,1521,81,0,1853
1/9/2016,11,0,1077,109,0,821
1/9/2016,19,0,1261,81,0,1137
1/9/2016,10,0,1065,49,0,357
1/9/2016,0,0,317,0,0,173
1/9/2016,16,0,1781,97,0,2065
1/9/2016,13,0,1701,121,0,1649
1/9/2016,8,0,413,0,0,61
1/9/2016,1,0,289,0,0,93
1/9/2016,6,0,85,0,0,5
1/10/2016,9,0,705,0,0,81
1/10/2016,6,0,61,0,0,13
1/10/2016,15,0,1501,85,0,1661
1/10/2016,2,0,109,0,0,69
1/10/2016,4,0,37,0,0,17
1/10/2016,22,0,961,0,0,357
1/10/2016,18,0,1341,105,0,1201
1/10/2016,17,0,1545,45,0,1409
1/10/2016,3,0,85,0,0,41
1/10/2016,23,0,361,0,0,229
1/10/2016,8,0,285,0,0,53
1/10/2016,16,0,1213,77,0,1597
1/10/2016,10,0,865,17,0,293
1/10/2016,7,0,105,0,0,33
1/10/2016,1,0,209,0,0,73
1/10/2016,19,0,981,73,0,949
1/10/2016,11,0,1261,49,0,681
1/10/2016,0,0,433,0,0,129
1/10/2016,14,0,1189,65,0,1501
1/10/2016,13,0,1309,73,0,1197
1/10/2016,21,0,877,5,0,473
1/10/2016,5,0,41,0,0,5
1/10/2016,20,0,1233,89,0,681
1/10/2016,12,0,1093,61,0,973
1/11/2016,6,0,137,0,0,9
1/11/2016,21,0,1321,5,0,589
1/11/2016,22,0,877,0,0,401
1/11/2016,13,0,3201,297,0,1169
1/11/2016,9,0,1353,181,0,373
1/11/2016,19,0,1657,161,0,929
1/11/2016,16,0,3445,273,0,1353
1/11/2016,4,0,145,0,0,9
1/11/2016,12,0,2617,257,0,1021
1/11/2016,8,0,569,0,0,121
1/11/2016,14,0,15345,265,0,1249
1/11/2016,0,0,293,0,0,137
1/11/2016,11,0,2249,249,0,857
1/11/2016,3,0,45,0,0,29
1/11/2016,17,0,2773,237,0,1253
1/11/2016,23,0,673,0,0,301
1/11/2016,7,0,373,0,0,73
1/11/2016,15,0,3461,277,0,1481
1/11/2016,10,0,1869,213,0,489
1/11/2016,2,0,253,0,0,45
1/11/2016,1,0,245,0,0,89
1/11/2016,20,0,1329,181,0,605
1/11/2016,18,0,1881,129,0,1149
1/11/2016,5,0,81,0,0,1
1/12/2016,23,0,1037,0,0,261
1/12/2016,15,0,3193,273,0,1329
1/12/2016,4,0,69,0,0,13
1/12/2016,7,0,269,0,0,53
1/12/2016,11,0,2521,321,0,813
1/12/2016,10,0,2469,221,0,633
1/12/2016,2,0,249,0,0,53
1/12/2016,6,0,77,0,0,1
1/12/2016,16,0,3057,233,0,1321
1/12/2016,3,0,93,0,0,29
1/12/2016,0,0,329,0,0,153
1/12/2016,18,0,2161,161,0,1225
1/12/2016,22,0,949,0,0,405
1/12/2016,17,0,3129,237,0,1225
1/12/2016,8,0,769,0,0,189
1/12/2016,20,0,1241,157,0,789
1/12/2016,13,0,3421,321,0,1161
1/12/2016,1,0,221,0,0,93
1/12/2016,5,0,149,0,0,5
